ID,NPC,Stage,Speaker,Portrait,Type,Text,Next,Choice1,Choice1Next,Choice2,Choice2Next,QuizID
1,quiz,1,지나가는 수룡이,quiz,dialogue,거기 너 잃어버린 수정구슬 찾고 있지?,2,,,,,
2,quiz,1,지나가는 수룡이,quiz,dialogue,내가 무언가를 알고 있는데 도움이 될 것 같아,3,,,,,
3,quiz,1,수룡이,player,dialogue,정말? 알려줘!!,4,,,,,
4,quiz,1,지나가는 수룡이,quiz,dialogue,그냥은 안돼고 내가 내는 문제를 맞추면 내가 알고 있는걸 말해줄게,5,,,,,
5,quiz,1,수룡이,system,choice,,,좋아!,6,싫어,-1,
6,quiz,1,지나가는 수룡이,system,quiz,,7,,,,,1
7,quiz,2,지나가는 수룡이,quiz,dialogue,오 제법인걸?,8,,,,,
8,quiz,2,지나가는 수룡이,quiz,dialogue,내가 낸 문제를 맞췄으니 약속대로 알고 있는걸 말해줄게,9,,,,,
9,quiz,2,지나가는 수룡이,quiz,dialogue,수정구슬을 얻으면 소원이 이루어진다는 소문이 있어,10,,,,,
10,quiz,2,지나가는 수룡이,quiz,dialogue,너한테 도움이 될거야,11,,,,,
11,quiz,2,수룡이,player,dialogue,(그닥 도움이 안되는 것 같은데....)알겠어 고마워!,12,,,,,
12,quiz,2,지나가는 수룡이,quiz,dialogue,또 다른 힌트가 필요하다면 나를 찾아와~!,-1,,,,,
13,quiz,2,지나가는 수룡이,quiz,dialogue,오 또 왔다니 새로운 힌트가 얻고 싶은거지?,14,,,,,
14,quiz,2,수룡이,player,dialogue,맞아 그러니 어서 다른 힌트를 줘!,15,,,,,
15,quiz,2,지나가는 수룡이,quiz,dialogue,그렇다면 또 퀴즈를 맞춰봐,16,,,,,
16,quiz,2,수룡이,system,choice,,,좋아!,17,싫어,-1,
17,quiz,2,지나가는 수룡이,system,quiz,,18,,,,,2
18,quiz,3,지나가는 수룡이,quiz,dialogue,이번에도 맞히다니 대단한걸?,19,,,,,
19,quiz,3,지나가는 수룡이,quiz,dialogue, 연결리스트는 사소한거 하나하나 다 기억하고 꼬리에 꼬리를 물고 늘어져서 답이야!,20,,,,,
20,quiz,3,지나가는 수룡이,quiz,dialogue,그렇다면 힌트를 주지,21,,,,,
21,quiz,3,지나가는 수룡이,quiz,dialogue,요즘 밤이되면 옥상에 있는 나무가 움직이는 것 같다는 소문이 있어,22,,,,,
22,quiz,3,수룡이,player,dialogue,(이번엔 좀 도움이 되는 것 같네),23,,,,,
23,quiz,3,수룡이,player,dialogue,알려줘서 고마워!,-1,,,,,
24,hungry,1,배고픈 수룡이,hungry,dialogue,끄어어...배가 너무 고파,25,,,,,
25,hungry,1,배고픈 수룡이,hungry,dialogue,저기 지나가는 수룡아 나에게 꼬치를 구워 주지 않을래?,26,,,,,
26,hungry,1,수룡이,system,choice,,,좋아!,27,싫어,-1,
27,hungry,1,,system,minigame,,28,,,,,
28,hungry,1,수룡이,player,dialogue,여기 내가 구운 꼬치야!,29,,,,,
29,hungry,1,배고픈 수룡이,hungry,dialogue,(..옴뇸뇸) 음! 정말 맛있다~ 나를 위해 꼬치를 구워줘서 정말 고마워!!,30,,,,,
30,hungry,1,배고픈 수룡이,hungry,dialogue,날 도와줬으니 너에게 노트북을 줄게!,31,,,,,
31,hungry,1,수룡이,player,dialogue,고마워,-1,,,,,
