Event,Line,Speaker,Dialogue,nextstorystep,EndAction
0,0,???,으어어,,
0,1,수룡이,이게 무슨 소리지?,,
0,2,수룡이,일자리플러스센터 앞에서 나는 소리 같은데? 어서 가보자,,
1,0,수룡이,무슨 일 있니,,
1,1,컴공수룡이,너무 힘들어..,,
1,2,컴공수룡이,카페인이 필요해.....,,
1,3,수룡이,그러면 내가 아이스 아메리카노를 구해줄게 잠시만 기다려,,
1,4,수룡이,블루포트에 가서 아이스 아메리카노를 구해보자,1,
3,0,수룡이,컴공 수룡이를 위해 아이스 아메리카노를 구해보자,,
4,0,수룡이,저..저기요,,
4,1,수룡이,저기요,,
4,2,수룡이,(아무래도 바쁜 것 같다.. 다음에 오자),,
5,0,카페수룡이,안녕하세요 블루포트입니다.,,
5,1,카페수룡이,무엇을 도와드릴까요,,
5,2,수룡이,저..아이스 아메리카노 하나 주세요,,
5,3,카페수룡이,네 2100원 입니다,,
5,4,수룡이,엇..나는 돈이 없는데...,,
5,5,카페수룡이,아참 저희 이벤트로 퀴즈를 풀면 아이스 아메리카노를 제공드리고 있어요,,
5,6,카페수룡이,참여하시겠어요?,,
5,7,수룡이,네!!!!,,
5,8,카페수룡이,그럼 문제입니다.,,OpenProblem1
6,0,카페수룡이,다시 생각해보세요.,,RetryProblem1
7,0,카페수룡이,오오 정답입니다.,,
7,1,카페수룡이,그럼 두 번째 문제입니다.,,OpenProblem2
8,0,카페수룡이,다시 생각해보세요,,RetryProblem2
9,0,카페수룡이,정답입니다!!,,
9,1,카페수룡이,축하합니다. 옆에서 아이스 아메리카노를 받아가세요,,
9,2,수룡이,와 감사합니다.,2,
10,0,수룡이,컴공 수룡이에게 아이스 아메리카노를 가져다 주자,,
11,0,수룡이,어엇...,,
11,1,수룡이,쿵,,
11,2,수룡이,(아이스 아메리카노가 쏟아져버렸다),,
11,3,타과수룡이,어..미안해 이걸 어쩌지...,,
11,4,수룡이,괜찮아 어쩔 수 없지..,3,
12,0,수룡이,저기 퀴즈 참여 다시 할 수 있을까요,,
12,1,카페수룡이,1인당 1번만 참여하실 수 있습니다,,
12,2,수룡,네에..,,
13,3,컴공수룡이,아이스..아메리카노..가져왔니,,
13,4,수룡이,이걸 어쩌지 오는 길에 쏟아져버렸어,,
13,5,컴공수룡이,으어어..,,
13,6,컴공수룡이,그러면.. ,,
13,7,컴공수룡이,내가..,,
13,8,컴공수룡이,숨겨둔...,,
13,9,컴공수룡이,아이스 아메리카노가...,,
13,10,컴공수룡이,있는데...,,
13,11,수룡이,으응? 그런게 있었어?,,
13,12,컴공수룡이,그래프 또는...트리의 다음 순서를 맞춰야해...,,
13,13,컴공수룡이,만약 못 맞춘다면.....,,
13,14,수룡이,후훗 나는 킹왕짱 수룡이라 할 수 있어!,,
13,15,수룡이,나에게 맡겨만 줘,,
13,16,컴공수룡이,많이 어려울거야,,OpenChoice
14,0,컴공수룡이,으어어...,,
14,1,컴공수룡이,빨리 와....,,
15,0,수룡이,오 정말 여기 아이스아메리카노가 있어!,,
15,1,수룡이,컴공수룡이에게 가져다주자,4,ExitQuizRoom
16,0,수룡이,내가 아이스 아메리카노를 가져왔어,,
16,1,컴공수룡이,으어어 빨리 줘어..,,
16,2,수룡이,자 여기 있어,,ChangeNPCState
17,0,컴공수룡이,캬..이제 살겠다,,
17,1,컴공수룡이,정말 고마워,,
17,2,수룡이,아냐 이정도로 뭘,,
17,3,컴공수룡이,여기 남은 아이스아메리카노 줄게,,
17,4,수룡이,오 고마워,,
17,5,수룡이,아 그 혹시 내 수정구슬 어디로 갔는지 알아?,,
17,6,컴공수룡이,수정구슬..? 글쎄 여기서 못 본거면 성신관에 있는거 아닐까 ,,
17,7,수룡이,그래? 고마워,,
17,8,수룡이,이제 성신관으로 가보자,5,
18,0,수룡이,어라..,,
18,1,수룡이,여기가 어디지...,,
18,2,수룡이,길을 잃어버렸다 일단 나가자..,,ExitQuizRoom
19,0,컴공수룡이,이제 다시 공부를..!,,
