ID,Index,Speaker,Talk
1000,0,수룡이,고양아.자고 일어나니까 수정구슬이 사라졌는데 혹시 내 수정구슬 본 적 있어?
1000,1,고양이,흐음.. 수정구슬이라 본 것 같기도 하고?
1000,2,수룡이,정말??? 내 수정구슬 어디서 봤어??
1000,3,고양이,그냥 알려주면 재미없으니까 내가 내는 문제를 맞추면 어디에 있는 지 알려줄게
1100,0,고양이,좋아! 문제를 낼게. 우리 학교의 상징물과 교화는 뭘까?
1200,0,고양이,오! 뭐야 낮잠만 자길래 못 맞출 줄 알았는데.. 정답이야
1200,1,수룡이,그럼 이제 내 수정구슬을 어디서 봤는지 알려줘
1200,2,고양이,그 전에 너 수정구슬의 괴담에 대해서 알아?
1200,3,수룡이,수정구슬의 괴담이 뭐야?
1200,4,고양이,보름달이 뜨는 밤.. 수정구슬을 가지고 소원을 빌면 소원이 들어진대.
1200,5,수룡이,그런 게 어딨어? 그래서 내 수정구슬을 어디서 봤는데
1200,6,고양이,수정구슬을 어디서 봤냐면 말이지…
1200,7,고양이,사실 나도 몰라~ 나도 방금 왔거든
1200,8,수룡이,뭐???? 왜 아는 척 한거야!!!
1200,9,고양이,그냥 심심하잖아~ 그래도 사람들이 많은 수정관에 가면 본 사람이 있지 않을까?
1200,10,수룡이,수정관가서도 못 찾으면… 가만 안 둘거야…
1300,0,고양이,뭐야~ 수정구슬 안 찾을거야?
1400,0,고양이,이제 재미없으니까 빨리 수정관으로 가봐
1500,0,수룡이,내 수정구슬!! 자고 일어났더니 수정구슬이 사라졌어..
1500,1,수룡이,주변에 내 수정구슬의 행방을 아는 친구가 있지 않을까?
